WeekStartDate,Forecast_Or_Actual_Value,Forecast_Or_Actual_Value_Legend
23-Dec-2024,3238.0749999999998,2023-24-Residual Energy Demand
30-Dec-2024,3359.9259999999999,2023-24-Residual Energy Demand
16-Dec-2024,3588.79,2023-24-Residual Energy Demand
24-Mar-2025,3633.1019999999999,2023-24-Residual Energy Demand
06-Jan-2025,3684.9949999999999,2023-24-Residual Energy Demand
13-Jan-2025,3703.0039999999999,2023-24-Residual Energy Demand
09-Dec-2024,3724.741,2023-24-Residual Energy Demand
19-Aug-2024,3752.0169999999998,2023-24-Residual Energy Demand
24-Feb-2025,3773.3299999999999,2023-24-Residual Energy Demand
21-Oct-2024,3776.0650000000001,2023-24-Residual Energy Demand
14-Oct-2024,3777.511,2023-24-Residual Energy Demand
20-Jan-2025,3803.1129999999998,2023-24-Residual Energy Demand
17-Feb-2025,3805.2629999999999,2023-24-Residual Energy Demand
10-Feb-2025,3819.0900000000001,2023-24-Residual Energy Demand
23-Sep-2024,3828.364,2023-24-Residual Energy Demand
10-Mar-2025,3833.02,2023-24-Residual Energy Demand
03-Feb-2025,3846.0749999999998,2023-24-Residual Energy Demand
01-Apr-2024,3848.2640000000001,2023-24-Residual Energy Demand
03-Mar-2025,3859.1770000000001,2023-24-Residual Energy Demand
30-Sep-2024,3862.6030000000001,2023-24-Residual Energy Demand
04-Nov-2024,3877.2199999999998,2023-24-Residual Energy Demand
27-Jan-2025,3880.1599999999999,2023-24-Residual Energy Demand
17-Mar-2025,3891.8470000000002,2023-24-Residual Energy Demand
07-Oct-2024,3893.6260000000002,2023-24-Residual Energy Demand
26-Aug-2024,3898.2669999999998,2023-24-Residual Energy Demand
16-Sep-2024,3898.6759999999999,2023-24-Residual Energy Demand
02-Dec-2024,3925.4639999999999,2023-24-Residual Energy Demand
11-Nov-2024,3933.2260000000001,2023-24-Residual Energy Demand
12-Aug-2024,3933.346,2023-24-Residual Energy Demand
28-Oct-2024,3951.0819999999999,2023-24-Residual Energy Demand
10-Jun-2024,3958.2640000000001,2023-24-Residual Energy Demand
02-Sep-2024,3973.0920000000001,2023-24-Residual Energy Demand
09-Sep-2024,3975.864,2023-24-Residual Energy Demand
05-Aug-2024,3980.4749999999999,2023-24-Residual Energy Demand
08-Apr-2024,4019.2930000000001,2023-24-Residual Energy Demand
22-Apr-2024,4019.8850000000002,2023-24-Residual Energy Demand
01-Jul-2024,4029.7130000000002,2023-24-Residual Energy Demand
25-Nov-2024,4047.3699999999999,2023-24-Residual Energy Demand
03-Jun-2024,4070.0680000000002,2023-24-Residual Energy Demand
06-May-2024,4073.5039999999999,2023-24-Residual Energy Demand
29-Apr-2024,4074.0039999999999,2023-24-Residual Energy Demand
